Entry No.,CPU Cores,Memory,Bandwidth,Hour1,Hour2,Day Start,Day End,Month Start,Month End,Year Start,Year End,Instances,,,,,
1,2,8,128,0.277819643,0.095839254,17.22471363,15.33031608,731,693,547061,189249,6,,2,2,16,2
2,4,8,256,0.354386606,0.144290801,15.97080665,9.192258166,806,193,559056,115217,4,,4,4,32,4
3,2,16,32,0.305187996,0.660943375,11.33345988,28.32858204,622,387,552845,543282,4,,8,8,64,6
4,8,16,64,0.158301329,0.149203958,18.89620712,21.95962177,729,1011,180449,221671,2,,,16,128,8
5,4,4,512,0.106784969,0.793671694,8.826171625,3.108425838,472,1027,419013,819579,6,,,,256,
6,4,2,64,0.290844884,0.685935047,16.06885795,15.67469523,255,75,46220,896227,2,,,,512,
7,4,2,512,0.23899538,0.08143113,1.374246164,20.08047725,271,96,153178,966270,8,,,,1024,
8,8,16,64,0.043179568,0.299662518,19.89204632,7.712782657,729,1006,541271,89674,8,,,,,
9,8,8,16,0.137357664,0.676396739,4.042096227,23.58068113,330,626,522073,705107,4,,,,,
10,4,2,1024,0.386266634,0.386432225,8.908620402,29.43454116,581,621,667628,784151,2,,,,,
11,2,2,512,0.041645581,0.082925419,7.61185473,13.29333238,376,577,259017,962467,8,,,,,
12,8,16,128,0.082836723,0.86386119,9.878879022,11.32527917,748,184,663302,171409,6,,,,,
13,2,8,16,0.152333634,0.793732917,14.82999195,5.326314222,886,300,417801,107881,4,,,,,
14,4,4,512,0.256522833,0.62525693,3.233890318,28.21894059,502,712,439680,583030,8,,,,,
15,4,16,64,0.019467538,0.543119731,16.54666449,23.27391633,434,128,824710,932353,6,,,,,
16,4,2,256,0.209268368,0.15165498,15.02804772,14.10590754,824,79,245954,704213,4,,,,,
17,4,8,256,0.199272904,0.107481344,19.84206973,29.70643171,665,574,346783,395222,8,,,,,
18,4,8,128,0.356410091,0.398606958,15.72284907,19.75651728,322,706,283607,541798,8,,,,,
19,2,2,32,0.279035222,0.475846288,10.28778211,23.99397934,343,313,137143,475354,4,,,,,
20,8,2,32,0.100617098,0.508353368,14.22737972,6.516122812,68,529,774318,575804,8,,,,,
21,8,2,32,0.354796245,0.880093675,14.09831869,27.02789048,652,734,587017,428277,8,,,,,
22,4,2,32,0.019275564,0.168237319,5.393659206,28.72491674,753,207,55760,996462,8,,,,,
23,8,2,256,0.234426117,0.339224108,19.73888168,26.24433592,859,923,614245,140201,8,,,,,
24,4,16,256,0.262290317,0.412380802,9.62871344,4.396235926,709,61,415513,110034,2,,,,,
25,8,8,1024,0.104728785,0.06260617,2.326003496,9.906585985,280,1014,323920,914583,2,,,,,
26,8,16,512,0.292162894,0.036819927,4.255660755,23.91587861,318,550,67116,817523,6,,,,,
27,8,2,128,0.097953964,0.39982986,5.364330676,27.05961921,633,274,629097,551749,4,,,,,
28,8,16,1024,0.335243043,0.803226054,21.32281779,18.80818342,91,81,712646,765032,2,,,,,
29,8,2,128,0.321542605,0.88747335,10.05834531,12.51019781,172,754,287661,452615,8,,,,,
30,4,8,16,0.122164591,0.081413408,15.29051243,11.48317892,96,836,144904,123775,2,,,,,
31,8,16,16,0.34499681,0.174047692,5.546350707,4.340955666,71,994,352167,393708,4,,,,,
32,8,2,128,0.388678649,0.352635965,15.8447655,23.91692382,817,902,695441,330239,8,,,,,
33,2,2,1024,0.199366226,0.535139064,14.557102,23.99447197,438,840,66120,80034,6,,,,,
34,8,4,16,0.070171152,0.209681324,12.07334336,2.734171394,836,581,86873,765189,6,,,,,
35,8,8,1024,0.214858302,0.556146273,14.76621484,20.06741675,461,61,284610,942362,8,,,,,
36,8,16,512,0.117450044,0.436959403,1.932994759,20.73599649,725,41,364745,547057,2,,,,,
37,2,8,1024,0.120599491,0.408991849,13.07113948,9.467765643,370,814,5419,120025,8,,,,,
38,2,4,128,0.396465052,0.128964051,10.01770288,26.1382714,876,72,615365,720367,2,,,,,
39,4,8,256,0.099055014,0.28080904,5.525954405,11.19307046,738,495,137052,85450,4,,,,,
40,2,16,32,0.228597684,0.676756931,4.458437442,23.39146799,746,718,110518,980085,8,,,,,
41,2,8,128,0.205538703,0.301978135,13.63147822,7.558110143,817,685,399458,414959,6,,,,,
42,8,2,64,0.299683853,0.772062597,2.660150417,4.657385015,458,426,579310,874962,8,,,,,
43,2,2,256,0.21698152,0.601696946,16.18162682,7.03535306,377,335,131763,740195,6,,,,,
44,8,2,128,0.28749202,0.812864874,17.43319529,22.11823375,670,70,800264,111005,2,,,,,
45,4,8,16,0.178244795,0.506603323,7.927590467,29.27122311,203,842,542425,624986,6,,,,,
46,2,4,512,0.228459762,0.800459402,17.87590088,23.79597526,843,560,663954,516405,6,,,,,
47,2,16,32,0.139130595,0.306299357,21.1642873,15.47373364,371,111,456461,663429,8,,,,,
48,2,2,32,0.30580038,0.374558879,10.7915879,9.652082296,863,145,8778,398637,8,,,,,
49,8,2,512,0.101706589,0.392208797,17.52730747,28.69977269,141,367,498249,654281,6,,,,,
50,8,4,128,0.138189441,0.328843315,4.08878793,16.20210596,342,219,822013,428403,8,,,,,
51,8,8,16,0.112344479,0.898708141,17.65023903,4.879408089,441,889,772884,964919,6,,,,,
52,2,16,128,0.315029771,0.128821404,8.657776491,24.89927862,668,878,728992,381993,4,,,,,
53,2,2,16,0.228951267,0.594580894,1.511235689,12.30929997,747,741,35661,743271,4,,,,,
54,4,4,128,0.238064058,0.410879882,12.08559146,2.095763519,910,674,621627,338590,2,,,,,
55,8,4,32,0.12099157,0.032338229,21.1770806,16.02006704,119,676,775474,460641,8,,,,,
56,8,2,128,0.19931104,0.300845886,18.1382654,18.19176566,747,960,388386,388208,4,,,,,
57,2,16,16,0.325491615,0.446326511,4.656019844,15.13440726,423,796,561572,574083,4,,,,,
58,4,4,32,0.355652596,0.894465103,1.756191144,30.40900068,717,1031,462658,15101,8,,,,,
59,2,8,1024,0.253631892,0.148209711,9.628211409,2.500986418,460,473,207694,672758,6,,,,,
60,4,4,128,0.335936378,0.083755656,9.126590494,1.203729669,312,510,707235,89684,2,,,,,
61,2,2,1024,0.342824379,0.196878981,8.228470663,25.97857316,844,227,482309,975017,6,,,,,
62,4,16,256,0.246950124,0.788427,11.76883366,13.91127016,635,140,59360,196549,8,,,,,
63,4,4,64,0.077024433,0.126731241,16.07042516,22.75565728,359,570,100696,999632,4,,,,,
64,2,4,64,0.335201043,0.539244649,17.13132666,20.23639029,334,983,508480,834086,4,,,,,
65,4,8,256,0.087349862,0.063367099,10.76687039,29.93906274,830,869,356840,43905,2,,,,,
66,2,16,256,0.117326108,0.827731065,7.930017494,6.24276952,743,740,438023,581547,8,,,,,
67,4,16,256,0.219395858,0.208455932,11.65785832,13.20538272,740,292,677119,89228,2,,,,,
