Entry No.,CPU Cores,Memory,Bandwidth,Hour1,Hour2,Day Start,Day End,Month Start,Month End,Year Start,Year End,Instances,,,,,
1,2,2,64,0.119424472,0.627328753,3.130759103,20.53583805,846,553,231263,912903,2,,2,2,16,2
2,4,16,256,0.035879449,0.474203386,4.749356288,2.555857114,405,947,519922,435025,6,,4,4,32,4
3,4,2,32,0.028575323,0.746258784,12.89230811,18.61455651,630,959,298225,454133,2,,8,8,64,6
4,2,8,256,0.144042227,0.607143019,7.991031648,3.402172629,609,463,81131,405196,2,,,16,128,8
5,8,8,32,0.386991699,0.853410692,19.18092254,22.61462353,240,916,702746,293397,4,,,,256,
6,4,8,64,0.366678429,0.140964168,10.23938569,21.90853793,225,624,772913,887689,4,,,,512,
7,2,8,64,0.333063439,0.278190307,1.292897,5.973409029,439,544,184408,833674,2,,,,1024,
8,8,16,32,0.104896869,0.194079475,20.01364447,10.8622782,739,470,9105,880070,4,,,,,
9,4,16,32,0.167472785,0.882860538,15.57715838,11.6353621,309,294,160157,499660,2,,,,,
10,2,2,64,0.088077113,0.278555958,13.4681709,10.23182889,528,56,381502,311208,4,,,,,
11,4,8,64,0.29140038,0.535868214,17.57242249,13.3930622,768,915,824912,146206,4,,,,,
12,2,16,64,0.28984291,0.677499784,10.77111653,17.87014282,262,257,272722,649655,4,,,,,
13,2,4,1024,0.117957751,0.183859472,20.73328309,4.495952857,374,341,374850,211725,8,,,,,
14,4,16,256,0.157577667,0.147261631,14.53938131,9.288898743,561,888,788218,815762,6,,,,,
15,2,8,512,0.165885972,0.860070351,10.06128807,26.97002313,270,766,87623,88413,4,,,,,
16,2,4,256,0.152632864,0.616885874,15.15426401,30.59060142,586,305,514879,510834,4,,,,,
17,8,4,1024,0.259047763,0.705045644,3.039583547,30.33147228,365,356,187124,893075,4,,,,,
18,4,4,128,0.323513974,0.70798279,2.580753289,15.27676152,569,946,528251,849244,2,,,,,
19,4,16,256,0.196292123,0.595561206,19.00432628,22.34756946,263,519,571626,284213,8,,,,,
20,4,2,16,0.22376004,0.62267612,1.644991523,17.36519111,638,956,572923,900834,6,,,,,
21,4,8,128,0.169251568,0.384667877,5.674703186,30.23237284,192,812,454211,169869,8,,,,,
22,2,4,32,0.199534153,0.329010773,17.45240209,2.908801505,114,455,202352,921897,8,,,,,
23,2,8,64,0.11001976,0.600172,7.804063879,21.72796783,425,460,300269,805146,8,,,,,
24,8,4,512,0.111414507,0.780642519,6.78809309,27.77475798,352,438,320476,910220,6,,,,,
25,2,2,512,0.102697685,0.805037242,10.59470077,1.647894011,371,692,240594,975747,4,,,,,
26,4,8,256,0.327726708,0.278060638,4.249008998,5.416328212,758,299,134270,39510,2,,,,,
27,4,4,64,0.17112118,0.105760087,8.989351587,6.348578846,362,1003,248401,937472,4,,,,,
28,2,2,128,0.172408919,0.758502442,14.23807454,21.9609717,152,626,610973,49067,4,,,,,
29,4,8,1024,0.312662875,0.150063663,19.87554982,16.9196453,202,564,46044,267388,4,,,,,
30,4,16,64,0.15651099,0.590425282,2.477782752,7.806742905,687,826,407029,718184,6,,,,,
31,2,2,512,0.289528975,0.348677209,4.439212266,13.39887852,705,971,750519,886920,6,,,,,
32,2,16,512,0.257489695,0.718282509,15.67820939,30.41639619,269,964,387651,765433,6,,,,,
33,2,16,16,0.170984632,0.887696359,15.04986088,13.56198305,198,741,520010,944329,2,,,,,
34,8,16,1024,0.044084168,0.078314443,13.57207436,2.883841075,664,716,706983,191745,4,,,,,
35,2,16,64,0.066588122,0.685307723,14.5711928,24.88399664,305,394,574970,136411,8,,,,,
36,2,8,512,0.07556697,0.262515354,7.648918867,24.85291352,641,650,590671,592683,6,,,,,
37,8,2,16,0.156631539,0.692552527,14.41324828,12.14969165,221,368,456953,97385,8,,,,,
38,8,4,16,0.048049207,0.174157703,7.407791287,8.25303744,197,862,698782,331959,6,,,,,
39,4,2,512,0.237265071,0.427166927,10.36083963,16.8787574,839,932,765905,808003,2,,,,,
40,2,8,512,0.068194407,0.434907358,9.498021345,19.89092201,317,859,589181,602286,6,,,,,
41,2,2,1024,0.039035177,0.104833461,6.307968191,19.74356457,428,558,129808,884307,4,,,,,
42,4,2,16,0.285298292,0.831136514,2.318867886,18.09381348,629,497,710202,430280,2,,,,,
43,2,4,16,0.079551197,0.262058098,9.606393563,16.98335665,916,668,755896,970447,6,,,,,
44,8,4,512,0.083899062,0.784052357,12.67098746,14.64994805,132,611,611303,300741,2,,,,,
45,4,8,1024,0.019751657,0.178057483,12.19724048,11.80458423,564,209,131449,805542,4,,,,,
46,4,16,64,0.022977863,0.104062414,2.544055115,27.94201123,513,569,20505,292744,6,,,,,
47,4,8,512,0.274460717,0.681133762,5.814024602,18.46218927,427,927,740971,115064,4,,,,,
48,8,16,64,0.145450962,0.218232332,20.56036209,2.691229352,347,371,211960,632480,6,,,,,
49,4,2,16,0.395697463,0.293417524,9.440435009,29.15307055,536,475,348603,855338,6,,,,,
50,4,16,32,0.235375552,0.681122388,1.588153719,29.20029725,377,841,748134,376427,8,,,,,
51,8,4,1024,0.085236039,0.27061371,12.8282871,21.80059447,564,861,130432,107322,6,,,,,
52,2,4,16,0.234350099,0.482134855,3.840128541,16.80986997,463,611,539684,227949,2,,,,,
53,4,2,1024,0.112438054,0.063175588,20.30656514,30.05046126,322,427,790944,655878,8,,,,,
54,4,2,128,0.224711119,0.429132748,14.3227975,24.49434026,797,232,356099,52052,2,,,,,
55,4,16,1024,0.18377233,0.815696991,21.10468834,25.00675432,264,314,236061,295885,2,,,,,
56,4,4,1024,0.186179791,0.088178552,5.671537392,12.04358366,264,479,682462,307084,8,,,,,
57,2,8,128,0.257931454,0.84421031,17.53555965,29.19694089,32,354,702666,737511,6,,,,,
58,8,4,512,0.301070979,0.512066673,7.337165276,23.63250516,807,508,740172,195684,6,,,,,
59,4,16,1024,0.31096481,0.446235566,5.948949508,18.90899142,682,696,193482,603515,4,,,,,
60,8,8,512,0.098461106,0.697427661,16.61786636,3.067316715,870,480,177091,893695,4,,,,,
61,4,2,1024,0.067364316,0.467034006,12.76643964,20.04749425,693,539,687886,204968,6,,,,,
62,8,16,64,0.308376058,0.261962136,4.082432731,4.093505602,52,558,336344,726107,4,,,,,
63,2,16,512,0.36351012,0.480961573,17.7268948,17.18400695,883,82,322695,612360,6,,,,,
64,2,16,32,0.086215665,0.206089713,8.023789586,15.61592383,479,77,537564,629637,2,,,,,
65,4,16,128,0.116601584,0.727054358,6.476741506,11.10979374,681,172,465328,708406,2,,,,,
66,8,8,128,0.141564264,0.091967263,3.892113712,3.811551977,295,79,353100,864349,8,,,,,
67,2,2,1024,0.016838547,0.76148064,12.12574607,7.069118677,835,800,426185,970130,2,,,,,
68,2,16,32,0.327507136,0.107506313,4.452004923,5.632016634,661,170,188308,404882,4,,,,,
69,8,16,1024,0.127024561,0.32971085,2.398305892,11.54836738,375,319,354828,429065,8,,,,,
70,4,8,1024,0.053857625,0.868469544,12.89977863,8.88390543,685,864,406277,799261,2,,,,,
71,4,8,512,0.363863253,0.127171925,8.924653932,3.57781061,68,429,485785,445845,2,,,,,
72,8,2,512,0.292822947,0.870300903,17.44431204,14.97287546,39,412,457066,718563,6,,,,,
