Entry No.,CPU Cores,Memory,Bandwidth,Hour1,Hour2,Day Start,Day End,Month Start,Month End,Year Start,Year End,Instances,,,,,
1,2,16,32,0.387424376,0.524085864,15.09912775,3.018399609,353,826,619681,285064,6,,2,2,16,2
2,4,2,16,0.051613356,0.769407089,4.503955306,29.85720919,500,833,77922,19412,2,,4,4,32,4
3,8,16,128,0.122884312,0.492443923,13.10981568,25.17088586,501,740,459057,274338,4,,8,8,64,6
4,8,2,1024,0.098437941,0.344685349,15.2813979,24.40123536,432,891,695641,787218,4,,,16,128,8
5,2,2,64,0.295474441,0.408157018,3.246065681,25.90309588,189,694,199755,564196,6,,,,256,
6,8,4,32,0.150807471,0.507814799,9.461446159,25.03116675,796,425,429518,81722,2,,,,512,
7,8,16,128,0.209076441,0.4381424,8.823735987,17.41903954,789,468,104443,620006,8,,,,1024,
8,4,8,64,0.177054592,0.566406961,12.06348702,29.68123699,490,258,713755,321426,6,,,,,
9,2,16,128,0.296154326,0.114934512,2.379766346,28.15045064,804,126,383113,962089,2,,,,,
10,2,4,16,0.329489104,0.642734155,14.86244649,1.033454401,533,93,761380,573334,4,,,,,
11,2,4,32,0.389706781,0.221725955,21.11398017,27.32963783,731,598,11208,167954,4,,,,,
12,2,4,64,0.271677021,0.61639563,12.4027176,9.617909979,126,37,294804,198832,6,,,,,
13,8,16,1024,0.048886869,0.081017716,13.57712794,12.18905263,174,371,35781,57992,4,,,,,
14,8,16,32,0.177871262,0.686168209,16.4144678,14.94229379,273,673,196071,494904,8,,,,,
15,4,2,32,0.343720371,0.586608003,7.613254384,26.81713781,135,420,292482,476637,4,,,,,
16,4,8,1024,0.015002378,0.264561972,19.35942614,20.16116023,644,874,135448,578597,2,,,,,
17,8,4,128,0.072283989,0.12221573,16.15573332,28.55870491,166,960,32641,440259,8,,,,,
18,2,16,512,0.066193699,0.623052822,13.10861956,14.94249487,352,389,804342,714118,8,,,,,
19,2,2,128,0.303394696,0.76835037,10.70432874,2.739818889,415,347,647936,66145,4,,,,,
20,4,2,128,0.112905875,0.171881014,13.36921493,1.696243512,112,886,384347,933131,4,,,,,
21,8,4,1024,0.302576678,0.437027355,11.13624622,22.96823722,370,248,268080,300390,4,,,,,
22,8,4,64,0.267504271,0.372436315,4.34368795,19.08539931,878,529,333461,55684,6,,,,,
23,4,8,512,0.225468761,0.168283054,20.85251233,6.234530941,138,415,755050,772438,4,,,,,
24,8,4,512,0.068807889,0.769100624,1.64437643,19.36349697,510,59,163129,888025,4,,,,,
25,2,8,16,0.397278124,0.667333233,19.5106501,17.57121853,850,901,496338,83572,2,,,,,
26,8,16,256,0.241065186,0.143171707,2.777654883,26.11261555,385,807,189671,165664,2,,,,,
27,4,8,1024,0.319735566,0.872157444,12.02566428,5.529177943,783,234,618738,383005,6,,,,,
28,4,16,16,0.124079542,0.721178792,7.619927376,29.11251896,470,1001,783117,928704,8,,,,,
29,4,4,256,0.125995794,0.735194619,8.526490017,26.63863937,338,545,759440,48023,2,,,,,
30,4,4,512,0.354476913,0.121556261,7.618501528,12.41941216,849,827,111802,897518,8,,,,,
31,4,2,32,0.220346274,0.698066534,20.23178691,14.55399579,463,940,269326,932447,4,,,,,
32,2,4,1024,0.13814479,0.456787529,11.11583948,15.31685641,249,261,369043,403193,6,,,,,
33,2,4,512,0.385540504,0.459916616,4.153142708,9.127564804,496,657,393455,18747,8,,,,,
34,4,2,128,0.384642843,0.135858137,7.552737943,6.010320317,905,1018,346016,751909,8,,,,,
35,2,2,1024,0.301534054,0.212068037,21.40701546,26.57488181,790,784,345325,846333,6,,,,,
36,4,8,32,0.093716381,0.46524755,2.196211697,12.39547422,191,959,322740,94206,4,,,,,
37,2,16,128,0.241336852,0.828565568,1.553780398,18.7602304,200,1002,259022,56778,4,,,,,
38,8,16,512,0.236288405,0.427798373,18.63929605,20.83352681,543,32,368547,137472,2,,,,,
39,8,8,64,0.158211512,0.399309818,1.447048663,5.936647949,835,183,160919,769456,2,,,,,
40,2,8,256,0.053584345,0.494023632,19.46865883,4.774394618,466,917,329838,215824,6,,,,,
